CNPJ_Fundo,Data_Referencia,Versao,Data_Entrega,Nome_Fundo,Data_Funcionamento,Publico_Alvo,Codigo_ISIN,Quantidade_Cotas_Emitidas,Fundo_Exclusivo,Cotistas_Vinculo_Familiar,Mandato,Segmento_Atuacao,Tipo_Gestao,Prazo_Duracao,Data_Prazo_Duracao,Encerramento_Exercicio_Social,Mercado_Negociacao_Bolsa,Mercado_Negociacao_MBO,Mercado_Negociacao_MB,Entidade_Administradora_BVMF,Entidade_Administradora_CETIP,Nome_Administrador,CNPJ_Administrador,Logradouro,Numero,Complemento,Bairro,Cidade,Estado,CEP,Telefone1,Telefone2,Telefone3,Site,Email
10.991.914/0001-15,2020-12-01,1,2021-03-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,2010-03-01,INVESTIDORES EM GERAL,BRCXCECTF004,1712950.0,S,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,S,N,N,S,N,CAIXA ECONOMICA FEDERAL,10991914000115,Avenida Paulista,2300,11º Andar,Cerqueira Cesar,São Paulo,SP,01310-300,(11) 3572-4210,,,www.caixa.gov.br,geafi01@caixa.gov.br
11.026.627/0001-38,2020-12-01,1,2021-03-31,FII BTG PACTUAL FUNDO DE FUNDOS,2009-12-30,INVESTIDORES EM GERAL,BRBCFFCTF000,20562973.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,11026627000138,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3102,,,www.btgpactual.com,ri.fundoslistados@btgpactual.com
11.044.355/0001-07,2020-12-01,1,2021-03-31,STARX FUNDO DE INVESTIMENTO IMOBILIARIO - FII,2010-09-22,INVESTIDOR QUALIFICADO,BRSTRXCTF006,15378.6007842,S,N,Híbrido,Híbrido,Passiva,Indeterminado,,31/12,N,N,S,N,N,OLIVEIRA TRUST DTVM S.A.,11044355000107,Av. das Américas,3434,Bl. 07 Sala 201,Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
11.160.521/0001-22,2020-12-01,1,2021-03-02,CSHG RECEBIVEIS IMOBILIÁRIOS - FDO INVEST IMOBILIÁRIO - FII,2009-12-22,INVESTIDORES EM GERAL,BRHGCRCTF000,12372450.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,31/12,S,N,N,S,N,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,11160521000122,RUA LEOPOLDO COUTO MAGALHAES JR,700,11º andar,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,imobiliario.cshg.com.br,list.imobiliario@cshg.com.br
11.179.118/0001-45,2020-12-01,1,2021-03-30,FUNDO DE INVESTIMENTO IMOBILIARIO ANHANGUERA EDUCACIONCIONAL,2012-10-18,INVESTIDORES EM GERAL,BRFAEDCTF003,642168.0,N,N,Renda,Outros,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,11179118000145,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,ri.fundoslistados@btgpactual.com
11.233.841/0001-65,2020-12-01,1,2021-03-31,REAL MINAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,2009-12-23,INVESTIDOR QUALIFICADO,BRRLMICTF007,1529229.79730436,S,N,Híbrido,Híbrido,Passiva,Indeterminado,,31/12,N,N,S,N,N,OLIVEIRA TRUST DTVM S.A.,11233841000165,Avenida das Américas,3434,"Bloco 07, Sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
11.260.134/0001-68,2020-12-01,1,2021-03-02,CSHG PRIME OFFICES - FUNDO DE INVEST IMOBILIÁRIO - FII,2010-10-14,INVESTIDORES EM GERAL,BRHGPOCTF009,1650000.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,S,N,N,S,N,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,11260134000168,RUA LEOPOLDO COUTO MAGALHAES JR,700,11º andar,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,imobiliario.cshg.com.br,list.imobiliario@cshg.com.br
11.268.335/0001-01,2020-12-01,1,2021-03-31,JPP FII,2012-01-02,INVESTIDOR PROFISSIONAL,BRJPPDCTF009,156.7160539,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,Dezembro,N,S,N,N,S,BEM DTVM LTDA,00066670000100,Núcleo Cidade de Deus,S/N,Prédio Prata - 4º Andar,Vl Yara,Osasco,SP,06029-900,(11) 3684-4522,,,www.bradescobemdtvm.com.br,bemdtvm@bradesco.com.br
11.274.415/0001-70,2020-12-01,1,2021-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO - FII MAX RETAIL,2012-10-30,INVESTIDORES EM GERAL,BRMAXRCTF009,59245.0,N,N,Renda,Híbrido,Ativa,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,11274415000170,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3102,,,www.btgpactual.com,ri.fundoslistados@btgpactual.com
11.281.322/0001-72,2020-12-01,1,2021-03-29,PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2011-01-03,INVESTIDORES EM GERAL,BRPRSVCTF008,195000.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,S,N,N,S,N,HEDGE INVESTMENTS DTVM LTDA,11281322000172,AVENIDA HORÁCIO LAFER,160,9º ANDAR (PARTE),ITAIM BIBI,SÃO PAULO,SP,04538-080,(11) 3124-4100,,,www.hedgeinvest.com.br,dtvm@hedgeinvest.com.br
11.326.746/0001-06,2020-12-01,1,2021-03-19,TAG GR IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,2012-09-19,INVESTIDOR QUALIFICADO,,17450.0,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRL TRUST DTVM S.A.,11326746000106,Rua Iguatemi,151,19º andar,Itaim Bibi,São Paulo,SP,01451-011,(11)31330350,,,www.brltrust.com.br,fii@brltrust.com.br
11.425.077/0001-20,2020-12-01,1,2021-03-24,MB FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-12-21,INVESTIDOR QUALIFICADO,,44260.0991,S,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,MERCANTIL DO BRASIL CORRETORA S.A.CTVM,11425077000120,RUA RIO DE JANEIRO,654,9º ANDAR,CENTRO,BELO HORIZONTE,MG,30160912,(31) 3057-6227,(31) 3057-6281,,www.mercantildobrasil.com.br,mbcorretora@mercantil.com.br
11.602.654/0001-01,2020-12-01,1,2021-03-31,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CAMPUS FARIA LIMA,2012-10-29,INVESTIDORES EM GERAL,BRFCFLCTF009,3474010.0,N,N,Renda,Outros,Passiva,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,11602654000101,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,ri.fundoslistados@btgpactual.com
11.664.201/0001-00,2020-12-01,1,2021-03-31,FATOR VERITÁ FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2010-08-05,INVESTIDORES EM GERAL,BRVRTACTF008,10000000.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,31/12,S,N,N,S,N,BANCO FATOR S.A,11664201000100,RUA DR RENATO PAES DE BARROS,1017,12ª ANDAR,ITAIM BIBI,SÃO PAULO,SP,04530001,30499165,,,fator.com.br,recursosdeterceiros@fator.com.br
11.701.400/0001-40,2020-12-01,1,2021-03-30,TAURUS PATRIMONIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2010-09-28,INVESTIDOR QUALIFICADO,BRCMPRCTF001,13300000.0,S,S,Híbrido,Híbrido,Passiva,Indeterminado,,31/12,N,S,N,N,S,OLIVEIRA TRUST DTVM S.A.,11701400000140,Avenida das Americas,3434,"Bl. 07, Sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21)3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
11.728.688/0001-47,2020-05-01,1,2020-06-18,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2010-06-08,INVESTIDORES EM GERAL,BRHGLGCTF004,11882212.0,N,N,Renda,Logística,Ativa,Indeterminado,,31/12,S,N,N,S,N,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,11728688000147,RUA LEOPOLDO COUTO MAGALHAES JR,700,11º andar,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,www.cshg.com.br,list.imobiliario@cshg.com.br
11.728.688/0001-47,2020-12-01,1,2021-03-09,CSHG LOGISTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2010-06-08,INVESTIDORES EM GERAL,BRHGLGCTF004,18436967.0,N,N,Renda,Logística,Ativa,Indeterminado,,31/12,S,N,N,S,N,CREDIT SUISSE HEDGING - GRIFFO CORRETORA DE VALORES S.A.,11728688000147,RUA LEOPOLDO COUTO MAGALHAES JR,700,11º andar,ITAIM BIBI,SÃO PAULO,SP,04542-000,(11) 3701-8600,,,imobiliario.cshg.com.br,list.imobiliario@cshg.com.br
11.769.604/0001-13,2020-12-01,3,2021-04-22,GENERAL SHOPPING E OUTLETS BRASIL FII,2018-11-13,INVESTIDORES EM GERAL,0,68482196.0,N,N,Renda,Shoppings,Ativa,Indeterminado,,31/12,S,N,N,S,N,PLANNER TRUSTEE DTVM LTDA,11769604000113,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br
11.839.593/0001-09,2020-06-01,2,2020-10-04,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2010-08-06,INVESTIDORES EM GERAL,BRBTLGCTF000,3384501.0,N,N,Renda,Logística,Ativa,Indeterminado,,30/06,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,11839593000109,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,ri.fundoslistados@btgpactual.com
11.945.604/0001-27,2020-06-01,1,2020-09-28,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,2010-09-27,INVESTIDOR QUALIFICADO,BRRBDSCTF006,126522.998804,N,N,Desenvolvimento para Venda,Residencial,Ativa,Determinado,2018-12-31,06/2018,S,N,N,S,N,OLIVEIRA TRUST DTVM S.A.,11945604000127,Avenida das Américas,3434,Bl. 07 Sala 201,Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
12.005.956/0001-65,2020-06-01,1,2020-09-25,KINEA RENDA IMOBILIARIA FII,2010-08-11,INVESTIDORES EM GERAL,BRKNRICTF007,23600802.0,N,N,Renda,Híbrido,Ativa,Indeterminado,,30/06,S,N,N,S,N,INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,12005956000165,AV BRIGADEIRO FARIA LIMA,3400,10º andar,ITAIM BIBI,SÃO PAULO,SP,04538-132,55-(11)30726012,,,www.intrag.com.br,produtosestruturados@itau-unibanco.com.br
12.323.955/0001-69,2020-12-01,1,2021-03-30,SABIA FUNDO DE INVESTIMENTO IMOBILIARIO - FII,2010-12-06,INVESTIDOR QUALIFICADO,BRFSBICTF000,3591545.0,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,PLURAL S.A. BANCO MÚLTIPLO,12323955000169,PR BOTAFOGO,228,SALA 907,BOTAFOGO,RIO DE JANEIRO,RJ,22250-909,(11) 3206-8000,,,www.bancoplural.com,middleadm@bancogenial.com
12.358.507/0001-09,2020-12-01,1,2021-03-31,ÊXITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2010-12-06,INVESTIDOR PROFISSIONAL,BREXTUCTF000,400234.0,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,PLURAL S.A. BANCO MULTIPLO,12358507000109,PR DE BOTAFOGO,228,Sala 907,Botafogo,Rio de Janeiro,RJ,22.250-040,11 3206 8000,,,www.bancoplural.com,middleadm@bancogenial.com
12.401.858/0001-47,2020-06-01,2,2020-10-04,ATRIUM NACOES UNIDAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,2012-08-15,INVESTIDORES EM GERAL,BRATRNCTF005,10.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,Junho,N,N,S,N,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,12401858000147,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,ri.fundoslistados@btgpactual.com
12.516.185/0001-70,2020-12-01,1,2021-03-31,VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO,2013-07-24,INVESTIDORES EM GERAL,BRVINOCTF001,12673868.0,N,N,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,S,N,N,S,N,BRL TRUST DTVM S.A.,12516185000170,Rua Iguatemi,151,19º andar,Itaim Bibi,São Paulo,SP,01451-011,(11)31330350,,,www.brltrust.com.br,fii@brltrust.com.br
12.681.340/0001-04,2020-12-01,1,2021-05-05,BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2011-06-13,INVESTIDORES EM GERAL,BRBBRCCTF004,1590000.0,N,N,Desenvolvimento para Renda,Outros,Passiva,Indeterminado,,31/12,S,N,N,S,N,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,12681340000104,Av. das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,RI-VAM@bv.com.br
12.804.013/0001-00,2020-12-01,1,2021-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,2010-10-25,INVESTIDORES EM GERAL,BRFISCCTF008,1576580.0,N,N,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,S,N,N,S,N,BR-CAPITAL DISTRIB. TITULOS E VALORES MOBILIÁRIOS S.A.,12804013000100,AV. DAS NAÇÕES UNIDAS,11857,CONJ. 111,BROOKLIN PAULISTA,SÃO PAULO,SP,04578-908,(11) 5508-3500,,,www.brcapital.com.br,fundos@brcapital.com.br
12.809.972/0001-00,2020-12-01,1,2021-03-29,HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVEST IMOB,2011-03-23,INVESTIDORES EM GERAL,BRATSACTF000,1715200.0,N,N,Desenvolvimento para Renda,Shoppings,Passiva,Indeterminado,,31/12,S,N,N,S,N,HEDGE INVESTMENTS DTVM LTDA,12809972000100,AVENIDA HORÁCIO LAFER,160,9º ANDAR (PARTE),ITAIM BIBI,SÃO PAULO,SP,04538-080,(11) 3124-4100,,,www.hedgeinvest.com.br,dtvm@hedgeinvest.com.br
12.811.222/0001-73,2020-12-01,1,2021-03-19,OAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,2012-12-30,INVESTIDOR QUALIFICADO,,125512.22217,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRL TRUST DTVM S.A.,12811222000173,Rua Iguatemi,151,19º andar,Itaim Bibi,São Paulo,SP,01451-011,(11)31330350,,,www.brltrust.com.br,fii@brltrust.com.br
12.887.506/0001-43,2020-12-01,1,2021-03-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA TRX LOGÍSTICA RENDA,2011-12-07,INVESTIDORES EM GERAL,BRCXTLCTF003,53597.0,N,N,Renda,Logística,Passiva,Indeterminado,,31/12,S,N,N,S,N,CAIXA ECONOMICA FEDERAL,12887506000143,Avenida Paulista,2300,11º Andar,Cerqueira Cesar,São Paulo,SP,01310-300,(11) 3572-4210,,,www.caixa.gov.br,geafi01@caixa.gov.br
12.927.767/0001-40,2020-12-01,2,2021-04-05,FUNDO DE INVESTIMENTO IMOBILIÁRIO DA REGIÃO DO PORTO,2011-03-30,INVESTIDOR QUALIFICADO,BRRPORCTF005,290922157.28,S,N,Híbrido,Híbrido,Ativa,Determinado,2026-03-30,31/12,N,N,S,N,N,CAIXA ECONOMICA FEDERAL,12927767000140,Avenida Paulista,2300,11° Andar,Cerqueira Cesar,São Paulo,SP,01310300,(11) 3572-4210,,,www.caixa.gov.br,geafi01@caixa.gov.br
12.948.291/0001-23,2020-12-01,1,2021-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE,2011-01-07,INVESTIDORES EM GERAL,BRONEFCTF003,911000.0,N,N,Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,S,N,N,S,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,12.948.291/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
12.969.125/0001-03,2020-12-01,1,2021-03-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA INCORPORAÇÃO,2012-05-31,INVESTIDOR PROFISSIONAL,BRINCPCTF008,467.0,N,N,Híbrido,Títulos e Val. Mob.,Ativa,Determinado,2023-12-31,31/12,N,S,N,N,S,CAIXA ECONOMICA FEDERAL,12969125000103,AVENIDA PAULISTA,2300,11º ANDAR,CERQUEIRA CESAR,SÃO PAULO,SP,01310.300,11 3572.4388,,,www.caixa.gov.br,geafi01@caixa.gov.br
12.978.943/0001-72,2020-06-01,1,2020-07-01,PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2011-04-07,INVESTIDOR QUALIFICADO E PROFISSIONAL,,610100.0,N,N,Desenvolvimento para Renda,Logística,Ativa,Indeterminado,,31/12,N,N,S,N,N,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,12978943000172,Avenida Paulista,1842,Torre Norte 1º andar cj. 17,Cerqueira Cesar,São Paulo,SP,01310-923,(11) 3526 9001,,,http://finaxis.com.br/,informacoesfundos@finaxis.com.br
12.989.974/0001-29,2020-12-01,1,2021-04-05,CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA,2011-05-27,INVESTIDOR QUALIFICADO,BRPMRVCTF001,4735662339.00747,S,N,Híbrido,Híbrido,Ativa,Determinado,2036-05-27,31/12,N,S,N,N,S,CAIXA ECONOMICA FEDERAL,12989974000129,Avenida Paulista,2300,11º Andar,Cerqueira Cesar,São Paulo,SP,01310300,(11) 3572-4210,,,www.caixa.gov.br,geafi01@caixa.gov.br
13.000.836/0001-38,2020-06-01,1,2020-09-28,OSASCO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2018-03-01,INVESTIDOR QUALIFICADO,0,23.93926644,N,N,Renda,Outros,Ativa,Indeterminado,,30/06,N,N,S,N,N,PLANNER CORRETORA DE VALORES S.A.,13000836000138,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2667,0800 179 444,(11) 2172-2600,www.planner.com.br,investfundos@planner.com.br
13.020.465/0001-56,2020-12-01,1,2021-03-30,FII CAIXA DESENVOLVIMENTO IMOBILIÁRIO,2010-12-29,INVESTIDOR QUALIFICADO,BRCXDSCTF002,297.7,S,N,Híbrido,Híbrido,Ativa,Determinado,2020-12-15,31/12,N,S,N,N,S,CAIXA ECONOMICA FEDERAL,13020465000156,Avenida Paulista,2300,11º Andar,Cerqueira Cesar,São Paulo,SP,01310300,(11) 3572-4210,,,www.caixa.gov.br,geafi01@caixa.gov.br
13.022.994/0001-99,2020-12-01,1,2021-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ELDORADO,2010-11-18,INVESTIDORES EM GERAL,BRELDOCTF002,787256.0,N,S,Renda,Shoppings,Passiva,Indeterminado,,31/12,N,S,N,S,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,13.022.994/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
13.125.823/0001-95,2020-12-01,1,2021-03-19,PSG FUNDO DE INVESTIMENTO IMOBILIÁRIO,2014-11-26,INVESTIDOR QUALIFICADO,,566.29489,N,N,Híbrido,Híbrido,Passiva,Indeterminado,,31/12,N,N,S,N,N,BRL TRUST DTVM S.A.,13125823000195,Rua Iguatemi,151,19º andar,Itaim Bibi,São Paulo,SP,01451-011,(11)31330350,,,www.brltrust.com.br,fii@brltrust.com.br
13.320.290/0001-00,2020-12-01,1,2021-03-19,TERRA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,2011-06-30,INVESTIDOR QUALIFICADO,,102444.629763,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRL TRUST DTVM S.A.,13320290000100,Rua Iguatemi,151,19º andar,Itaim Bibi,São Paulo,SP,01451-011,(11)31330350,,,www.brltrust.com.br,fii@brltrust.com.br
13.371.132/0001-71,2020-12-01,1,2021-03-31,JS REAL ESTATE MULTIGESTÃO FUNDO DE INVESTIMENTO IMOBILIÁRIO,2011-06-06,INVESTIDORES EM GERAL,BRJSRECTF007,20767328.0,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,S,N,N,S,N,BANCO J SAFRA S.A.,13371132000171,AVENIDA PAULISTA,2150,,BELA VISTA,SÃO PAULO,SP,01311-300,0300 105 1234,0800 772 5755,,https://www.safra.com.br/sobre/safra-asset/js-real-estate.htm,SAFRA.ASSET@SAFRA.COM.BR
13.464.208/0001-03,2020-12-01,1,2021-03-31,CIBRASEC CRÉDITO IMOBILIÁRIO - FII,2011-12-16,INVESTIDOR QUALIFICADO,BRCBCICTF001,4615.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Passiva,Indeterminado,,31/12,N,S,N,N,S,OLIVEIRA TRUST DTVM S.A.,13464208000103,Avenida das Américas,3434,"Bloco 07, sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
13.500.306/0001-59,2020-12-01,1,2021-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO MERCANTIL DO BRASIL - FII,2011-04-08,INVESTIDORES EM GERAL,BRMBRFCTF004,101664.0,N,N,Renda,Outros,Passiva,Indeterminado,,31/12,S,N,N,S,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,13.500.306/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
13.551.286/0001-45,2020-12-01,1,2021-03-31,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CENESP,2011-07-19,INVESTIDORES EM GERAL,BRCNESCTF001,2949248.0,N,N,Renda,Lajes Corporativas,Ativa,Indeterminado,,Dezembro,S,N,N,S,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,13551286000145,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3102,,,www.btgpactual.com,ri.fundoslistados@btgpactual.com
13.555.918/0001-49,2020-12-01,1,2021-04-27,AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2011-03-11,INVESTIDOR QUALIFICADO E PROFISSIONAL,BRAQLLCTF008,98221.9818,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,31/12,S,N,N,S,N,ÍNDIGO INVESTIMENTOS DTVM LTDA,13555918000149,RUA IGUATEMI,192,25° ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451010,11 3113-0060,11 3113-0069,,www.indigodtvm.com.br,compliance@indigodtvm.com.br
13.584.584/0001-31,2020-12-01,1,2021-03-31,BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,2011-12-07,INVESTIDORES EM GERAL,BRCARECTF000,134755169.0,N,N,Títulos e Valores Mobiliários,Híbrido,Ativa,Indeterminado,,31/12,S,N,N,S,N,PLANNER TRUSTEE DTVM LTDA,13584584000131,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br
13.598.226/0001-88,2020-12-01,2,2021-04-29,FUNDO DE INVESTIMENTO IMOBILIARIO DO ESTADO DE SÃO PAULO,2019-04-09,INVESTIDOR QUALIFICADO,BRFISPCTF000,84198.4,N,N,Híbrido,Outros,Ativa,Determinado,2024-04-18,31/12,N,N,S,N,N,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,13598226000188,Avenida Brigadeiro Faria Lima,1355,15° andar,Jardim Paulistano,São Paulo,SP,01452-002,(11) 2827-3500,,,www.singulare.com.br,fip.fii.adm@singulare.com.br
13.652.006/0001-95,2020-12-01,1,2021-03-31,RB CAPITAL GENERAL SHOPPING SULACAP FII,2011-08-25,INVESTIDORES EM GERAL,BRRBGSCTF009,1078000.0,N,N,Renda,Shoppings,Passiva,Indeterminado,,31/12,S,N,N,S,N,OLIVEIRA TRUST DTVM S.A.,13652006000195,Avenida das Américas,3434,"Bloco 07, sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
13.703.596/0001-38,2020-12-01,1,2021-03-31,TREVISO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,2012-08-07,INVESTIDOR QUALIFICADO,BRTREVCTF000,1064.38551926,N,N,Renda,Shoppings,Ativa,Indeterminado,,31/12,N,S,N,S,N,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,13703596000138,Rua Gilberto Sabino,215,4º Andar,Pinheiros,São Paulo,SP,5425020,11 3030-7177,,,www.vortx.com.br,admfundos@vortx.com.br
13.726.079/0001-84,2020-12-01,2,2021-04-29,SONDA FUNDO DE INVESTIMENTO IMOBILIARIO FII,2015-07-29,INVESTIDOR QUALIFICADO,BRFNDACTF004,214819.5835,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,13726079000184,Avenida Brigadeiro Faria Lima,1355,15º andar,Jardim Paulistano,São Paulo,SP,01452-002,(11) 2827-3500,,,www.singulare.com.br,fip.fii.adm@singulare.com.br
